date,value
1751-01-01,2552
1752-01-01,2553
1753-01-01,2553
1754-01-01,2554
1755-01-01,2555
1756-01-01,2731
1757-01-01,2732
1758-01-01,2733
1759-01-01,2734
1760-01-01,2734
1761-01-01,2995
1762-01-01,2996
1763-01-01,2997
1764-01-01,2998
1765-01-01,2999
1766-01-01,3346
1767-01-01,3347
1768-01-01,3348
1769-01-01,3349
1770-01-01,3350
1771-01-01,3715
1772-01-01,3716
1773-01-01,3717
1774-01-01,3718
1775-01-01,3719
1776-01-01,4104
1777-01-01,4105
1778-01-01,4106
1779-01-01,4107
1780-01-01,4109
1781-01-01,4597
1782-01-01,4598
1783-01-01,4600
1784-01-01,4601
1785-01-01,4604
1786-01-01,5227
1787-01-01,5229
1788-01-01,5230
1789-01-01,5232
1790-01-01,5234
1791-01-01,5846
1792-01-01,5976
1793-01-01,5981
1794-01-01,5972
1795-01-01,5975
1796-01-01,6264
1797-01-01,6576
1798-01-01,6849
1799-01-01,7213
1800-01-01,7667
1801-01-01,7631
1802-01-01,10039
1803-01-01,8594
1804-01-01,9364
1805-01-01,9121
1806-01-01,9565
1807-01-01,10064
1808-01-01,9570
1809-01-01,9577
1810-01-01,10202
1811-01-01,10803
1812-01-01,11192
1813-01-01,11250
1814-01-01,11498
1815-01-01,11869
1816-01-01,13009
1817-01-01,13491
1818-01-01,13549
1819-01-01,13632
1820-01-01,13834
1821-01-01,14038
1822-01-01,14592
1823-01-01,15434
1824-01-01,15973
1825-01-01,16582
1826-01-01,16763
1827-01-01,17990
1828-01-01,18187
1829-01-01,18121
1830-01-01,24324
1831-01-01,23070
1832-01-01,23229
1833-01-01,23692
1834-01-01,24150
1835-01-01,24685
1836-01-01,28596
1837-01-01,28573
1838-01-01,29488
1839-01-01,30462
1840-01-01,32459
1841-01-01,33466
1842-01-01,35345
1843-01-01,36259
1844-01-01,38598
1845-01-01,42361
1846-01-01,43066
1847-01-01,47053
1848-01-01,47439
1849-01-01,50085
1850-01-01,53738
1851-01-01,54242
1852-01-01,56631
1853-01-01,59252
1854-01-01,69599
1855-01-01,70970
1856-01-01,75630
1857-01-01,76332
1858-01-01,77502
1859-01-01,82151
1860-01-01,90259
1861-01-01,94920
1862-01-01,96647
1863-01-01,103145
1864-01-01,111122
1865-01-01,118004
1866-01-01,121735
1867-01-01,130408
1868-01-01,133939
1869-01-01,142230
1870-01-01,145343
1871-01-01,154515
1872-01-01,170953
1873-01-01,181610
1874-01-01,170032
1875-01-01,184443
1876-01-01,187105
1877-01-01,190802
1878-01-01,192294
1879-01-01,206069
1880-01-01,233049
1881-01-01,240881
1882-01-01,254402
1883-01-01,270544
1884-01-01,273589
1885-01-01,275630
1886-01-01,279948
1887-01-01,293953
1888-01-01,325487
1889-01-01,325370
1890-01-01,354491
1891-01-01,370988
1892-01-01,374056
1893-01-01,369579
1894-01-01,382471
1895-01-01,405546
1896-01-01,418779
1897-01-01,438604
1898-01-01,462639
1899-01-01,505411
1900-01-01,533108
1901-01-01,550756
1902-01-01,564710
1903-01-01,616067
1904-01-01,622605
1905-01-01,662846
1906-01-01,696197
1907-01-01,787298
1908-01-01,757561
1909-01-01,787471
1910-01-01,825878
1911-01-01,840949
1912-01-01,880655
1913-01-01,952883
1914-01-01,864650
1915-01-01,852936
1916-01-01,920394
1917-01-01,962985
1918-01-01,949969
1919-01-01,823319
1920-01-01,957318
1921-01-01,839987
1922-01-01,880805
1923-01-01,999376
1924-01-01,1002538
1925-01-01,1009614
1926-01-01,993975
1927-01-01,1085529
1928-01-01,1089280
1929-01-01,1171056
1930-01-01,1082274
1931-01-01,966940
1932-01-01,872349
1933-01-01,918558
1934-01-01,999331
1935-01-01,1049812
1936-01-01,1152750
1937-01-01,1234408
1938-01-01,1163998
1939-01-01,1229020
1940-01-01,1338430
1941-01-01,1371358
1942-01-01,1375539
1943-01-01,1423658
1944-01-01,1414062
1945-01-01,1182695
1946-01-01,1291119
1947-01-01,1429193
1948-01-01,1502573
1949-01-01,1431456
1950-01-01,1579187
1951-01-01,1699344
1952-01-01,1722264
1953-01-01,1770273
1954-01-01,1809275
1955-01-01,1980951
1956-01-01,2108384
1957-01-01,2173787
1958-01-01,2242217
1959-01-01,2359670
1960-01-01,2485885
1961-01-01,2484994
1962-01-01,2573168
1963-01-01,2719687
1964-01-01,2857853
1965-01-01,2991511
1966-01-01,3127495
1967-01-01,3223830
1968-01-01,3399752
1969-01-01,3628346
1970-01-01,3931670
1971-01-01,4090071
1972-01-01,4278167
1973-01-01,4503781
1974-01-01,4493944
1975-01-01,4499682
1976-01-01,4747453
1977-01-01,4879727
1978-01-01,5063587
1979-01-01,5201322
1980-01-01,5181578
1981-01-01,5048317
1982-01-01,5021711
1983-01-01,5074345
1984-01-01,5225585
1985-01-01,5414493
1986-01-01,5488590
1987-01-01,5681655
1988-01-01,5900024
1989-01-01,5990772
1990-01-01,5833178
1991-01-01,5986067
1992-01-01,5868261
1993-01-01,5927452
1994-01-01,5947285
1995-01-01,6066393
1996-01-01,6233168
1997-01-01,6254219
1998-01-01,6222213
1999-01-01,6320306
2000-01-01,6510845
2001-01-01,6564192
2002-01-01,6709406
2003-01-01,7055665
2004-01-01,7388222
2005-01-01,7635344
2006-01-01,7899493
2007-01-01,8127435
2008-01-01,8359083
2009-01-01,8275529
2010-01-01,8701391
2011-01-01,9042599
2012-01-01,9209392
2013-01-01,9234807
2014-01-01,9306200
