date,value
1751-01-01,2552
1752-01-01,2553
1753-01-01,2553
1754-01-01,2554
1755-01-01,2555
1756-01-01,2731
1757-01-01,2732
1758-01-01,2733
1759-01-01,2734
1760-01-01,2734
1761-01-01,2995
1762-01-01,2996
1763-01-01,2997
1764-01-01,2998
1765-01-01,2999
1766-01-01,3346
1767-01-01,3347
1768-01-01,3348
1769-01-01,3349
1770-01-01,3350
1771-01-01,3715
1772-01-01,3716
1773-01-01,3717
1774-01-01,3718
1775-01-01,3719
1776-01-01,4104
1777-01-01,4105
1778-01-01,4106
1779-01-01,4107
1780-01-01,4109
1781-01-01,4597
1782-01-01,4598
1783-01-01,4600
1784-01-01,4601
1785-01-01,4604
1786-01-01,5227
1787-01-01,5229
1788-01-01,5230
1789-01-01,5232
1790-01-01,5234
1791-01-01,5846
1792-01-01,5976
1793-01-01,5981
1794-01-01,5972
1795-01-01,5975
1796-01-01,6264
1797-01-01,6576
1798-01-01,6849
1799-01-01,7213
1800-01-01,7667
1801-01-01,7631
1802-01-01,10039
1803-01-01,8594
1804-01-01,9364
1805-01-01,9121
1806-01-01,9565
1807-01-01,10064
1808-01-01,9570
1809-01-01,9577
1810-01-01,10202
1811-01-01,10803
1812-01-01,11192
1813-01-01,11250
1814-01-01,11498
1815-01-01,11869
1816-01-01,13009
1817-01-01,13491
1818-01-01,13549
1819-01-01,13632
1820-01-01,13834
1821-01-01,14038
1822-01-01,14592
1823-01-01,15434
1824-01-01,15973
1825-01-01,16582
1826-01-01,16763
1827-01-01,17990
1828-01-01,18187
1829-01-01,18121
1830-01-01,24324
1831-01-01,23070
1832-01-01,23229
1833-01-01,23692
1834-01-01,24150
1835-01-01,24685
1836-01-01,28596
1837-01-01,28573
1838-01-01,29488
1839-01-01,30462
1840-01-01,32459
1841-01-01,33466
1842-01-01,35345
1843-01-01,36259
1844-01-01,38598
1845-01-01,42361
1846-01-01,43066
1847-01-01,47053
1848-01-01,47439
1849-01-01,50085
1850-01-01,53738
1851-01-01,54242
1852-01-01,56631
1853-01-01,59252
1854-01-01,69599
1855-01-01,70970
1856-01-01,75630
1857-01-01,76332
1858-01-01,77502
1859-01-01,82151
1860-01-01,90259
1861-01-01,94920
1862-01-01,96647
1863-01-01,103145
1864-01-01,111122
1865-01-01,118004
1866-01-01,121735
1867-01-01,130408
1868-01-01,133939
1869-01-01,142230
1870-01-01,145343
1871-01-01,154515
1872-01-01,170953
1873-01-01,181610
1874-01-01,170032
1875-01-01,184443
1876-01-01,187105
1877-01-01,190802
1878-01-01,192294
1879-01-01,206069
1880-01-01,233049
1881-01-01,240881
1882-01-01,254402
1883-01-01,270544
1884-01-01,273589
1885-01-01,275630
1886-01-01,279948
1887-01-01,293953
1888-01-01,325487
1889-01-01,325370
1890-01-01,354491
1891-01-01,370988
1892-01-01,374056
1893-01-01,369579
1894-01-01,382471
1895-01-01,405546
1896-01-01,418779
1897-01-01,438604
1898-01-01,462639
1899-01-01,505411
2021-01-01,533108
2021-01-01,550756
2021-01-01,564710
2021-01-01,616067
2021-01-01,622605
2021-01-01,662846
2021-01-01,696197
2021-01-01,787298
2021-01-01,757561
2021-01-01,787471
2021-01-01,825878
2021-01-01,840949
2021-01-01,880655
2021-01-01,952883
2021-01-01,864650
2021-01-01,852936
2021-01-01,920394
2021-01-01,962985
2021-01-01,949969
2021-01-01,823319
2021-01-01,957318
2021-01-01,839987
2021-01-01,880805
2021-01-01,999376
2021-01-01,1002538
2021-01-01,1009614
2021-01-01,993975
2021-01-01,1085529
2021-01-01,1089280
2021-01-01,1171056
2021-01-01,1082274
2021-01-01,966940
2021-01-01,872349
2021-01-01,918558
2021-01-01,999331
2021-01-01,1049812
2021-01-01,1152750
2021-01-01,1234408
2021-01-01,1163998
2021-01-01,1229020
2021-01-01,1338430
2021-01-01,1371358
2021-01-01,1375539
2021-01-01,1423658
2021-01-01,1414062
2021-01-01,1182695
2021-01-01,1291119
2021-01-01,1429193
2021-01-01,1502573
2021-01-01,1431456
2021-01-01,1579187
2021-01-01,1699344
2021-01-01,1722264
2021-01-01,1770273
2021-01-01,1809275
2021-01-01,1980951
2021-01-01,2108384
2021-01-01,2173787
2021-01-01,2242217
2021-01-01,2359670
2021-01-01,2485885
2021-01-01,2484994
2021-01-01,2573168
2021-01-01,2719687
2021-01-01,2857853
2021-01-01,2991511
2021-01-01,3127495
2021-01-01,3223830
2021-01-01,3399752
2021-01-01,3628346
2021-01-01,3931670
2021-01-01,4090071
2021-01-01,4278167
2021-01-01,4503781
2021-01-01,4493944
2021-01-01,4499682
2021-01-01,4747453
2021-01-01,4879727
2021-01-01,5063587
2021-01-01,5201322
2021-01-01,5181578
2021-01-01,5048317
2021-01-01,5021711
2021-01-01,5074345
2021-01-01,5225585
2021-01-01,5414493
2021-01-01,5488590
2021-01-01,5681655
2021-01-01,5900024
2021-01-01,5990772
2021-01-01,5833178
2021-01-01,5986067
2021-01-01,5868261
2021-01-01,5927452
2021-01-01,5947285
2021-01-01,6066393
2021-01-01,6233168
2021-01-01,6254219
2021-01-01,6222213
2021-01-01,6320306
2021-01-01,6510845
2021-01-01,6564192
2021-01-01,6709406
2021-01-01,7055665
2021-01-01,7388222
2021-01-01,7635344
2021-01-01,7899493
2021-01-01,8127435
2021-01-01,8359083
2021-01-01,8275529
2021-01-01,8701391
2021-01-01,9042599
2021-01-01,9209392
2021-01-01,9234807
2021-01-01,9306200
