name,parent,value
Origin,,
ZIMBABWE,Origin,176453
ZANZIBAR,Origin,162
ZAMBIA,Origin,42542
YUGOSLAVIA (MONTENEGRO & SERBIA),Origin,175598
YUGOSLAVIA (FORMER SOCIALIST FEDERAL REPUBLIC),Origin,886983
YEMEN,Origin,108940
WALLIS AND FUTUNA ISLANDS,Origin,97
VIET NAM,Origin,685496
VENEZUELA,Origin,1933349
VANUATU,Origin,1036
UZBEKISTAN,Origin,723675
USSR,Origin,30790355
URUGUAY,Origin,91254
UNITED STATES OF AMERICA,Origin,102510260
UNITED REPUBLIC OF TANZANIA,Origin,45557
UNITED KOREA,Origin,44230
UNITED KINGDOM,Origin,20500813
UNITED ARAB EMIRATES,Origin,954351
UKRAINE,Origin,2200321
UGANDA,Origin,21903
TUVALU,Origin,60
TURKS AND CAICOS ISLANDS,Origin,728
TURKMENISTAN,Origin,285662
TURKEY,Origin,2184948
TUNISIA,Origin,200747
TRINIDAD AND TOBAGO,Origin,363015
TONGA,Origin,971
TOGO,Origin,13931
TIMOR-LESTE (FORMERLY EAST TIMOR),Origin,859
THAILAND,Origin,1665126
TANGANYIKA,Origin,4721
TAJIKISTAN,Origin,18690
TAIWAN,Origin,1996597
SYRIAN ARAB REPUBLIC,Origin,462322
SWITZERLAND,Origin,740087
SWEDEN,Origin,1268004
SWAZILAND,Origin,8589
SURINAME,Origin,26868
SUDAN,Origin,82370
ST. VINCENT & THE GRENADINES,Origin,1519
ST. PIERRE & MIQUELON,Origin,915
ST. KITTS-NEVIS-ANGUILLA,Origin,170
ST. KITTS-NEVIS,Origin,1345
SRI LANKA,Origin,102135
SPAIN,Origin,3529437
SOUTH AFRICA,Origin,5030416
SOMALIA,Origin,7937
SOLOMON ISLANDS,Origin,1770
SLOVENIA,Origin,93818
SLOVAKIA,Origin,239627
SINGAPORE,Origin,478223
SIERRA LEONE,Origin,9329
SEYCHELLES,Origin,3584
SERBIA,Origin,116316
SENEGAL,Origin,50162
SAUDI ARABIA,Origin,3266162
SARAWAK,Origin,2396
SAO TOME & PRINCIPE,Origin,711
SAMOA,Origin,1577
SAINT MARTIN (DUTCH PORTION),Origin,585
SAINT LUCIA,Origin,2933
SAINT HELENA,Origin,85
SABAH,Origin,916
RYUKYU ISLANDS,Origin,5704
RWANDA-URUNDI,Origin,171
RWANDA,Origin,6071
RUSSIAN FEDERATION,Origin,10466421
ROMANIA,Origin,2188014
RHODESIA-NYASALAND,Origin,34510
REUNION,Origin,24652
REPUBLIC OF SUDAN,Origin,12403
REPUBLIC OF SOUTH VIETNAM,Origin,22459
REPUBLIC OF SOUTH SUDAN,Origin,1166
REPUBLIC OF MOLDOVA,Origin,43103
REPUBLIC OF KOREA,Origin,3824538
REPUBLIC OF CAMEROON,Origin,47696
QATAR,Origin,413974
PUERTO RICO,Origin,57
PORTUGAL,Origin,611792
POLAND,Origin,6960097
PLURINATIONAL STATE OF BOLIVIA,Origin,109998
PHILIPPINES,Origin,718033
PERU,Origin,457134
PENINSULAR MALAYSIA,Origin,37728
PARAGUAY,Origin,36560
PAPUA NEW GUINEA,Origin,35862
PANAMA,Origin,66275
PALAU,Origin,1557
PAKISTAN,Origin,993183
PACIFIC ISLANDS (PALAU),Origin,1209
OMAN,Origin,241904
OCCUPIED PALESTINIAN TERRITORY,Origin,11215
NORWAY,Origin,671517
NIUE,Origin,64
NIGERIA,Origin,840088
NIGER,Origin,10214
NICARAGUA,Origin,39996
NEW ZEALAND,Origin,444694
NEW CALEDONIA,Origin,32360
NETHERLANDS,Origin,2966741
NETHERLAND ANTILLES AND ARUBA,Origin,477868
NETHERLAND ANTILLES,Origin,34163
NEPAL,Origin,25306
NAURU,Origin,1233
NAMIBIA,Origin,14259
